tanggal,tn,tx,tavg,rh_avg,rr,ss,ddd_x,ddd_car,ff_x,ff_avg
2020-03-25,23.8,35.8,29.3,78,,2.5,150,C ,5,1
2020-03-26,23.8,35.4,28.2,80,0.0,7.0,280,C ,9,2
2020-03-27,24.0,32.8,28.2,85,,7.5,270,C ,2,1
2020-03-28,24.0,32.0,28.4,86,1.8,4.1,250,C ,2,0
2020-03-29,24.8,35.4,30.0,79,1.5,4.0,290,C ,3,1
2020-03-30,25.0,33.4,28.4,81,0.0,8.6,320,C ,5,1
2020-03-31,24.4,34.6,29.5,78,0.0,2.5,270,C ,4,1
2020-04-01,24.6,33.2,29.0,82,0.0,6.5,80,C ,3,1
2020-04-02,25.0,34.0,29.1,81,11.8,3.5,290,C ,5,1
2020-04-03,25.2,33.0,28.5,83,0.0,2.2,290,C ,2,0
2020-04-04,24.8,33.6,28.6,80,0.0,0.5,40,C ,4,1
2020-04-05,24.3,31.6,28.2,82,0.0,5.4,230,C ,7,2
2020-04-06,24.6,33.2,26.2,87,,2.1,80,C ,4,1
2020-04-07,24.0,34.0,28.2,81,5.2,4.7,40,C ,4,1
2020-04-08,24.4,35.0,28.7,80,1.1,5.5,30,C ,4,1
2020-04-09,24.7,32.6,27.4,86,2.4,3.6,90,C ,8,1
2020-04-10,24.3,33.0,28.8,82,36.0,3.0,240,C ,3,1
2020-04-11,24.6,35.6,29.8,79,,3.0,100,C ,4,1
2020-04-12,24.6,35.4,29.1,78,,9.6,300,C ,8,1
2020-04-13,25.2,32.0,26.9,91,,6.2,70,C ,3,0
2020-04-14,24.8,32.2,26.9,89,10.4,2.8,350,C ,5,1
2020-04-15,24.1,35.0,30.0,79,16.2,2.0,70,C ,4,1
2020-04-16,24.0,34.8,28.0,86,,8.7,240,C ,5,1
2020-04-17,25.2,31.6,26.4,92,37.6,5.2,40,C ,3,1
2020-04-18,23.9,34.2,29.1,80,9.7,3.1,40,C ,3,1
2020-04-19,23.8,33.0,28.7,83,0.0,9.0,50,C ,4,1
2020-04-20,24.0,34.8,28.5,82,0.0,2.1,60,C ,6,1
2020-04-21,24.8,35.8,29.3,80,,5.4,100,C ,8,1
2020-04-22,24.8,35.2,28.4,83,,6.8,70,C ,3,1
2020-04-23,24.3,32.6,26.7,88,7.4,5.2,60,C ,5,1
2020-04-24,24.2,34.4,29.0,80,1.3,2.0,40,C ,6,2
2020-04-25,24.0,34.4,27.4,88,0.0,8.2,300,C ,12,2
2020-04-26,23.4,31.2,27.7,86,84.4,,260,C ,4,0
2020-04-27,24.0,33.2,27.2,86,,2.0,350,C ,6,1
2020-04-28,23.4,32.8,26.5,89,57.0,5.7,250,C ,4,1
2020-04-29,24.0,32.8,27.4,84,23.6,3.9,50,C ,4,2
2020-04-30,23.4,33.0,27.1,85,21.9,5.2,230,W ,5,2
2020-05-01,23.8,32.0,26.7,87,11.4,,200,C ,7,1
2020-05-02,23.4,32.8,28.7,83,3.1,2.0,330,C ,3,0
2020-05-03,24.0,34.2,26.7,89,0.0,2.5,170,C ,5,1
2020-05-04,24.3,32.8,28.4,84,14.0,2.3,280,C ,3,1
